record_id,timestamp,farm,panel_capacity_kw,panel_output_kwh,ambient_temperature_c,sunlight_duration_hours,panel_efficiency_pct,hour,month
SOL0001,2026-03-27 03:39:00,Farm_D,150,128.04,22.0,9.5,8.985263157894737,3,3
SOL0002,2026-04-25 07:13:00,Farm_B,100,50.47,32.3,5.0,10.094,7,4
SOL0003,2026-06-03 16:42:00,Farm_A,120,52.05,30.4,4.3,10.087209302325581,16,6
SOL0004,2026-03-20 21:39:00,Farm_B,120,54.61,29.4,4.5,10.112962962962962,21,3
SOL0005,2026-07-20 15:54:00,Farm_D,100,79.42,29.8,8.3,9.56867469879518,15,7
SOL0006,2026-07-03 11:39:00,Farm_C,150,121.73,32.3,8.6,9.436434108527132,11,7
SOL0007,2026-07-18 07:35:00,Farm_A,150,92.51,30.7,6.0,10.278888888888888,7,7
SOL0008,2026-03-12 07:39:00,Farm_A,180,119.0,33.1,7.7,8.585858585858585,7,3
SOL0009,2026-01-27 00:44:00,Farm_B,100,84.49,35.6,8.5,9.94,0,1
SOL0010,2026-03-10 14:07:00,Farm_D,180,149.22,29.4,7.9,10.49367088607595,14,3
SOL0011,2026-07-01 03:51:00,Farm_C,100,34.97,29.1,3.9,8.966666666666665,3,7
SOL0012,2026-02-12 13:48:00,Farm_A,150,133.06,33.5,9.1,9.747985347985349,13,2
SOL0013,2026-02-23 22:38:00,Farm_D,150,132.4,32.5,9.2,9.594202898550725,22,2
SOL0014,2026-04-30 20:13:00,Farm_D,120,56.0,32.4,4.9,9.523809523809524,20,4
SOL0015,2026-06-06 13:30:00,Farm_B,100,40.8,32.5,4.1,9.951219512195122,13,6
SOL0016,2026-06-21 00:14:00,Farm_A,100,42.5,35.3,4.6,9.23913043478261,0,6
SOL0017,2026-06-18 06:01:00,Farm_C,100,87.09,29.9,9.0,9.676666666666666,6,6
SOL0018,2026-02-28 05:26:00,Farm_C,100,29.9,25.6,3.4,8.794117647058822,5,2
SOL0019,2026-07-25 00:58:00,Farm_A,150,121.53,34.6,7.9,10.255696202531645,0,7
SOL0020,2026-03-26 07:29:00,Farm_B,120,88.25,22.4,7.7,9.550865800865802,7,3
SOL0021,2026-03-18 16:46:00,Farm_D,180,53.04,24.6,3.1,9.50537634408602,16,3
SOL0022,2026-05-16 01:37:00,Farm_D,120,119.58,26.6,9.3,10.71505376344086,1,5
SOL0023,2026-06-09 03:43:00,Farm_D,180,96.46,19.1,5.4,9.9238683127572,3,6
SOL0024,2026-07-08 07:07:00,Farm_D,180,50.75,30.6,3.2,8.81076388888889,7,7
SOL0025,2026-05-02 14:53:00,Farm_B,180,66.34,32.5,3.6,10.237654320987655,14,5
SOL0026,2026-02-27 22:58:00,Farm_C,100,35.89,34.5,3.6,9.969444444444445,22,2
SOL0027,2026-02-21 12:38:00,Farm_D,150,46.88,28.9,3.4,9.1921568627451,12,2
SOL0028,2026-01-09 20:01:00,Farm_A,150,150.0,29.2,9.9,10.1010101010101,20,1
SOL0029,2026-04-03 02:04:00,Farm_C,100,37.89,32.8,3.8,9.971052631578948,2,4
SOL0030,2026-03-07 17:21:00,Farm_D,180,176.53,29.4,9.2,10.660024154589372,17,3
SOL0031,2026-04-24 16:47:00,Farm_D,120,71.98,31.3,6.6,9.08838383838384,16,4
SOL0032,2026-04-12 23:56:00,Farm_A,120,70.57,31.2,6.6,8.910353535353535,23,4
SOL0033,2026-01-07 02:32:00,Farm_C,150,80.17,31.8,5.7,9.376608187134503,2,1
SOL0034,2026-03-02 11:31:00,Farm_D,100,29.63,35.4,3.1,9.558064516129033,11,3
SOL0035,2026-06-08 06:01:00,Farm_C,100,50.07,29.3,5.7,8.78421052631579,6,6
SOL0036,2026-07-08 03:27:00,Farm_D,120,54.6,34.3,5.2,8.75,3,7
SOL0037,2026-06-14 22:09:00,Farm_B,100,37.82,26.7,4.3,8.795348837209302,22,6
SOL0038,2026-03-13 07:33:00,Farm_A,150,91.18,32.2,6.2,9.804301075268818,7,3
SOL0039,2026-04-09 03:19:00,Farm_A,180,162.37,33.9,9.7,9.299541809851089,3,4
SOL0040,2026-04-24 08:38:00,Farm_B,180,122.58,38.8,7.1,9.591549295774648,8,4
SOL0041,2026-05-21 06:45:00,Farm_A,100,39.91,37.2,4.4,9.070454545454544,6,5
SOL0042,2026-05-01 15:29:00,Farm_C,150,135.11,31.4,8.9,10.120599250936332,15,5
SOL0043,2026-05-05 10:10:00,Farm_B,120,118.75,27.1,9.5,10.416666666666668,10,5
SOL0044,2026-02-03 19:11:00,Farm_B,120,76.65,34.3,6.6,9.678030303030303,19,2
SOL0045,2026-03-22 23:53:00,Farm_A,120,106.52,33.2,9.0,9.862962962962962,23,3
SOL0046,2026-05-25 21:20:00,Farm_D,180,78.31,30.7,5.0,8.70111111111111,21,5
SOL0047,2026-07-30 19:26:00,Farm_C,180,131.27,34.7,8.7,8.382503192848022,19,7
SOL0048,2026-07-04 03:38:00,Farm_C,120,43.53,27.4,3.7,9.804054054054054,3,7
SOL0049,2026-02-03 12:44:00,Farm_B,180,92.06,33.8,5.9,8.668549905838042,12,2
SOL0050,2026-02-28 21:10:00,Farm_D,180,89.14,30.0,5.6,8.84325396825397,21,2
SOL0051,2026-03-25 00:41:00,Farm_D,120,59.06,23.2,5.1,9.65032679738562,0,3
SOL0052,2026-04-09 22:28:00,Farm_A,100,36.05,36.6,4.3,8.383720930232558,22,4
SOL0053,2026-05-01 13:24:00,Farm_A,150,124.37,37.6,8.5,9.754509803921568,13,5
SOL0054,2026-07-22 00:55:00,Farm_A,100,73.94,32.4,7.4,9.991891891891893,0,7
SOL0055,2026-03-15 05:14:00,Farm_C,100,74.27,35.6,8.7,8.536781609195403,5,3
SOL0056,2026-07-30 22:32:00,Farm_A,100,77.67,31.7,7.4,10.495945945945946,22,7
SOL0057,2026-07-02 02:28:00,Farm_A,100,60.71,33.1,6.4,9.4859375,2,7
SOL0058,2026-03-20 08:52:00,Farm_D,180,105.2,27.5,5.8,10.076628352490422,8,3
SOL0059,2026-03-21 22:56:00,Farm_A,100,84.79,27.2,9.3,9.117204301075269,22,3
SOL0060,2026-04-08 21:48:00,Farm_C,100,38.33,27.2,3.6,10.647222222222222,21,4
SOL0061,2026-04-06 11:49:00,Farm_D,150,88.08,34.0,6.5,9.033846153846154,11,4
SOL0062,2026-02-20 16:58:00,Farm_D,180,142.24,25.2,8.9,8.878901373283396,16,2
SOL0063,2026-06-28 05:15:00,Farm_B,100,78.89,33.4,8.6,9.173255813953489,5,6
SOL0064,2026-01-19 15:24:00,Farm_D,120,43.05,26.5,3.7,9.695945945945946,15,1
SOL0065,2026-02-23 19:13:00,Farm_C,180,154.47,30.3,8.3,10.339357429718874,19,2
SOL0066,2026-07-11 14:07:00,Farm_D,120,36.08,25.9,3.3,9.11111111111111,14,7
SOL0067,2026-01-08 15:23:00,Farm_B,100,70.35,16.6,8.1,8.685185185185185,15,1
SOL0068,2026-02-17 22:17:00,Farm_D,180,165.95,22.9,9.8,9.407596371882084,22,2
SOL0069,2026-01-07 09:32:00,Farm_C,120,73.34,36.5,7.2,8.488425925925926,9,1
SOL0070,2026-01-03 19:31:00,Farm_A,180,134.86,30.5,7.3,10.263318112633183,19,1
SOL0071,2026-06-26 07:23:00,Farm_D,150,57.94,34.3,4.1,9.421138211382113,7,6
SOL0072,2026-03-28 15:12:00,Farm_D,120,63.96,26.4,5.5,9.690909090909091,15,3
SOL0073,2026-07-29 07:36:00,Farm_C,120,49.91,41.1,4.9,8.488095238095237,7,7
